ID,CONST,DE ,HD+DLC,AoC,Description
1201,,Pagoda A,Pagoda,CRASH,
1202,,Pagoda B,Pagoda,CRASH,
1203,,Pagoda C,Pagoda,CRASH,
1204,,Bridge C--Top,Bridge C--Top,CRASH,
1205,,Bridge C--Middle,Bridge C--Middle,CRASH,
1206,,Bridge C--Bottom,Bridge C--Bottom,CRASH,
1207,,Bridge D--Top,Bridge D--Top,CRASH,
1208,,Bridge D--Middle,Bridge D--Middle,CRASH,
1209,,Bridge D--Bottom,Bridge D--Bottom,CRASH,
1210,,Bridge C--Cracked,Bridge C--Cracked,CRASH,
1211,,Bridge C--Broken Top,Bridge C--Broken Top,CRASH,
1212,,Bridge C--Broken Bottom,Bridge C--Broken Bottom,CRASH,
1213,,Bridge D--Cracked,Bridge D--Cracked,CRASH,
1214,,Bridge D--Broken Top,Bridge D--Broken Top,CRASH,
1215,,Bridge D--Broken Bottom,Bridge D--Broken Bottom,CRASH,
1216,,Sanchi Stupa,Sanchi Stupa,CRASH,
1217,,Gol Gumbaz,Gol Gumbaz,CRASH,
1218,,Barricade B,Barricade,CRASH,
1219,,Barricade C,Barricade,CRASH,
1220,,Barricade D,Barricade,CRASH,
1221,,Itzcoatl (Dead),-,CRASH,
1222,,Sharkatzor,Sharkatzor,CRASH,flying cheat unit that shoots explosive cows in HD (hovers and shoots laser bolts in DE)
1223,,Projectile Cow,Projectile Cow,CRASH,fired by Sharkatzor
1224,,Dinh Le (Dead),-,CRASH,
1225,,Konnik,-,CRASH,
1226,,Konnik (Dead),-,CRASH,
1227,,Elite Konnik,-,CRASH,
1228,,Keshik,-,CRASH,
1229,,Keshik (Dead),-,CRASH,
1230,,Elite Keshik,-,CRASH,
1231,,Kipchak,-,CRASH,
1232,,Kipchak (Dead),-,CRASH,
1233,,Elite Kipchak,-,CRASH,
1234,,Leitis,-,CRASH,
1235,,Leitis (Dead),-,CRASH,
1236,,Elite Leitis,-,CRASH,
1237,DLC_DROMEDARY,Bactrian Camel,-,CRASH,
1238,,Bactrian Camel (Dead),-,CRASH,
1239,DLC_IBEX,Ibex,-,CRASH,
1240,,Ibex (Dead),-,CRASH,
1241,DLC_SNOWLEOPARD,Snow Leopard,-,CRASH,Predator like wolf
1242,,Snow Leopard (Dead),-,CRASH,
1243,DLC_GOOSE,Goose,-,CRASH,
1244,,Goose (Dead),-,CRASH,
1245,DLC_PIG,Pig,-,CRASH,
1246,,Pig (Dead),-,CRASH,
1247,DLC_WILD_DROMEDARY,Wild Bactrian Camel,-,CRASH,
1248,DLC_AUTUMNTREE,Tree (Oak Autumn),-,CRASH,
1249,DLC_AUTUMNSNOWTREE,Tree (Oak Autumn Snow),-,CRASH,
1250,DLC_DEADTREE,Tree (Dead),-,CRASH,"tree without leaves, part of the dead snow forest"
1251,,Krepost,-,CRASH,
1252,,Konnik (Dismounted),-,CRASH,
1253,,Elite Konnik (Dismounted),-,CRASH,
1254,,Konnik,-,CRASH,krepost version
1255,,Elite Konnik,-,CRASH,krepost version
1256,,Elite Konnik (Dead),-,CRASH,
1257,,Konnik Infantry (Dead),-,CRASH,
1258,,Battering Ram,-,CRASH,
1259,,CUMANPLACEHOLDER,-,CRASH,Kipchack
1260,,Elite Kipchak,-,CRASH,free Mercenary Kiphack
1261,,CUMANDISABLED,-,CRASH,Kipchack
1262,,Tokhtamysh Khan,-,CRASH,Hero Keshik
1263,,Flaming Camel,-,CRASH,anti-cavalry petard
1264,,Shrine,-,CRASH,
1265,,Ivaylo,-,CRASH,Hero (like Konnik)
1266,,Tsar Konstantin,-,CRASH,
1267,,Kotyan Khan,-,CRASH,
1268,,Cuman Chief,-,CRASH,
1269,,Girgen Khan,-,CRASH,
1270,,Dismantled Cart,-,CRASH,
1271,,Ox Cart,-,CRASH,
1272,,Ox Cart (Dead),-,CRASH,
1273,,Ox Wagon,-,CRASH,
1274,,Ox Wagon (Dead),-,CRASH,
1275,,Khan,-,CRASH,
1276,,Urus Khan,-,CRASH,Hero Kipchak
1277,,Khan (Dead),-,CRASH,
1278,,Vytautas the Great (Dead),-,CRASH,
1279,,Statue (Civilization),-,CRASH,
1280,,Statue B,-,CRASH,
1281,,Vytautas the Great,-,CRASH,
1282,,Flag K,-,CRASH,
1283,,Flag L,-,CRASH,
1284,,Flag M,-,CRASH,
1285,,FE Flag,-,CRASH,
1286,,Tsar Konstantin (Dead),-,CRASH,
1287,,Kotyan Khan (Dead),-,CRASH,
1288,,Cuman Chief (Dead),-,CRASH,
1289,,Girgen Khan (Dead),-,CRASH,
1290,,Ivaylo,-,CRASH,Hero (like Konnik Infantry)
1291,,Invisible Object,-,CRASH,Invisible object that keeps player alive
1292,,Queen,-,CRASH,Western
1293,,Sanyogita,-,CRASH,Hero Queen Western
1294,,Prithvi,-,CRASH,Hero Crossbowman
1295,,Chand Bardai,-,CRASH,Hero Monk Asian
1296,,Saladin,-,CRASH,Hero Mameluke
1297,,Khosrau,-,CRASH,Hero Elephant Archer
1298,,Norse Chieftain,-,CRASH,Hero unit (unique graphic)
1299,,Sogdian Cataphract,-,CRASH,
1300,,Alfred the Alpaca,-,CRASH,"cheat unit, 120 attack"
1301,DLC_ELEPHANT,Elephant,-,CRASH,"like a boar, but 400 food"
1302,,Dragon Ship,-,CRASH,
1303,,Osman,-,CRASH,Hero unit (unique graphic)
1304,,Relic Cart,-,CRASH,
1305,DLC_VULTURE,Vulture,-,CRASH,
1306,,Rain,-,CRASH,
1307,,Flag F,-,CRASH,with a golden emblem
1308,,Smoke,-,CRASH,
1309,,Wooden Bridge A--Top,-,CRASH,
1310,,Wooden Bridge A--Middle,-,CRASH,
1311,,Wooden Bridge A--Bottom,-,CRASH,
1312,,Wooden Bridge B--Top,-,CRASH,
1313,,Wooden Bridge B--Middle,-,CRASH,
1314,,Wooden Bridge B--Bottom,-,CRASH,
1315,,Impaled Corpse,-,CRASH,
1316,,BGAA,-,CRASH,Wooden Bridge A Top
1317,,BGAB,-,CRASH,Wooden Bridge A Middle
1318,,BGAC,-,CRASH,Wooden Bridge A Bottom 
1319,,Quarry,-,CRASH,
1320,,Lumber,-,CRASH,
1321,,Goods,-,CRASH,fruit market stall
1322,,Statue (Column),-,CRASH,
1323,,Rock 2,-,CRASH,brown heap of rocks
1324,,Amazon Warrior (Dead),-,CRASH,
1325,,Amazon Archer (Dead),-,CRASH,
1326,,Imam (Dead),-,CRASH,
1327,,Monk with Relic,-,CRASH,
1328,,Queen (Dead),-,CRASH,Western
1329,,Monk (Dead),-,CRASH,Asian
1330,,Barrels,-,CRASH,
1331,,Alfred the Alpaca (Dead),-,CRASH,
1332,,Elephant (Dead),-,CRASH,
1333,,Flame 1,-,CRASH,small
1334,,Flame 2,-,CRASH,small
1335,,Flame 3,-,CRASH,large
1336,,Flame 4,-,CRASH,large
1337,,Shaw (Dead),-,CRASH,Oriental King Dead
1338,,Cart,-,CRASH,full trade cart??
1339,,CLF01,-,CRASH,cliff??
1340,,CLF02,-,CRASH,cliff??
1341,,CLF03,-,CRASH,cliff??
1342,,CLF04,-,CRASH,cliff??
1343,,Statue (Left),-,CRASH,
1344,,CLF06,-,CRASH,cliff??
1345,,Statue (Right),-,CRASH,
1346,,CLF08,-,CRASH,cliff??
1347,CYPRESS_TREE,Tree (Cypress),-,CRASH,
1348,ITALIAN_PINETREE,Tree (Italian Pine),-,CRASH,
1349,OLIVE_TREE,Tree (Olive),-,CRASH,
1350,,Tree (Reeds),-,CRASH,only 50 wood
1351,,Plant (Jungle),-,CRASH,
1352,,Plant (Underbrush Tropical),-,CRASH,
1353,,Plant (Underbrush),-,CRASH,
1354,,Plant (Rainforest),-,CRASH,
1355,,Plant (Underbrush Rainforest),-,CRASH,
1356,HORSE_B,Horse B,-,CRASH,Horse Heavy
1357,,Horse Heavy (Dead),-,CRASH,
1358,,"Grass, Green",-,CRASH,
1359,,"Grass, Dry",-,CRASH,
1360,,"Plant (Bush, Green)",-,CRASH,
1361,,"Plant (Bush, Dry)",-,CRASH,
1362,,"Plant (Shrub, Green)",-,CRASH,
1363,,"Plant (Shrub, Dry)",-,CRASH,
1364,,Plant (Weeds),-,CRASH,
1365,,Plant (Dead),-,CRASH,
1366,,Plant (Flowers),-,CRASH,
1367,,Sankore Madrasah,-,CRASH,
1368,,Tower of London,-,CRASH,
1369,,Dormition Cathedral,-,CRASH,
1370,,Steppe Lancer,-,CRASH,
1371,,Steppe Lancer (Dead),-,CRASH,
1372,,Elite Steppe Lancer,-,CRASH,
1373,,Elite Steppe Lancer (Dead),-,CRASH,
1374,,Iroquois Warrior,-,CRASH,
1375,,Iroquois Warrior (Dead),-,CRASH,
1376,,Torch B,-,CRASH,
1377,,Torch B (Convertable),-,CRASH,
1378,,Rock Church,-,CRASH,
1379,,Sea Gate,-,CRASH,
1380,,Sea Gate,-,CRASH,
1381,,Sea Gate,-,CRASH,
1382,,Sea Gate,-,CRASH,
1383,,Sea Gate,-,CRASH,
1384,,Sea Gate,-,CRASH,
1385,,Sea Gate,-,CRASH,
1386,,Sea Gate,-,CRASH,
1387,,Sea Gate,-,CRASH,
1388,,Sea Gate,-,CRASH,
1389,,Sea Gate,-,CRASH,
1390,,Sea Gate,-,CRASH,
1391,,Sea Gate,-,CRASH,
1392,,Sea Gate,-,CRASH,
1393,,Sea Gate,-,CRASH,
1394,,Sea Gate,-,CRASH,
1395,,Sundjata (Dead),-,CRASH,
1396,,Chain,-,CRASH,
1397,,Chain,-,CRASH,
1398,,Chain,-,CRASH,
1399,,Chain,-,CRASH,
1400,,Priest with Relic,-,CRASH,
1401,,Savar (Dead),CRASH,CRASH,
1402,,Barracks DARK (Rubble),CRASH,CRASH,
1403,,House DARK (Rubble),CRASH,CRASH,
1404,,Mill DARK (Rubble),CRASH,CRASH,
1405,,Outpost DARK (Rubble),CRASH,CRASH,
1406,,Gate Foundation (Rubble),CRASH,CRASH,
1407,,PalisadeWall DARK (Rubble),CRASH,CRASH,
1408,,TownCenter DARK (Rubble),CRASH,CRASH,
1409,,LumberCamp (Rubble),CRASH,CRASH,
1410,,MiningCamp (Rubble),CRASH,CRASH,
1411,,Mill Age2 (Rubble),CRASH,CRASH,
1412,,Mill Age3 (Rubble),CRASH,CRASH,
1413,,Barracks Age2 (Rubble),CRASH,CRASH,
1414,,Barracks Age3 (Rubble),CRASH,CRASH,
1415,,ArcheryRange Age2 (Rubble),CRASH,CRASH,
1416,,ArcheryRange Age3 (Rubble),CRASH,CRASH,
1417,,Stable Age2 (Rubble),CRASH,CRASH,
1418,,Stable Age3 (Rubble),CRASH,CRASH,
1419,,Blacksmith Age2 (Rubble),CRASH,CRASH,
1420,,Blacksmith Age3 (Rubble),CRASH,CRASH,
1421,,Monastery Age3 (Rubble),CRASH,CRASH,
1422,,Market Age2 (Rubble),CRASH,CRASH,
1423,,Market Age3 (Rubble),CRASH,CRASH,
1424,,Market Age4 (Rubble),CRASH,CRASH,
1425,,SiegeWorkshop Age2 (Rubble),CRASH,CRASH,
1426,,SiegeWorkshop Age3 (Rubble),CRASH,CRASH,
1427,,University Age3 (Rubble),CRASH,CRASH,
1428,,University Age4 (Rubble),CRASH,CRASH,
1429,,TradeWorkshop Age3 (Rubble),CRASH,CRASH,
1430,,Castle Age3 (Rubble),CRASH,CRASH,
1431,,TownCenter Age2 (Rubble),CRASH,CRASH,
1432,,TownCenter Age3 (Rubble),CRASH,CRASH,
1433,,TownCenter Age4 (Rubble),CRASH,CRASH,
1434,,House Age2 (Rubble),CRASH,CRASH,
1435,,House Age3 (Rubble),CRASH,CRASH,
1436,,Tower Age2 (Rubble),CRASH,CRASH,
1437,,Tower Age3 (Rubble),CRASH,CRASH,
1438,,Tower Age4 (Rubble),CRASH,CRASH,
1439,,Tower Bombard (Rubble),CRASH,CRASH,
1440,,PalisadeGate DARK NE (Rubble),CRASH,CRASH,
1441,,PalisadeGate DARK SE (Rubble),CRASH,CRASH,
1442,,PalisadeGate DARK E (Rubble),CRASH,CRASH,
1443,,PalisadeGate DARK N (Rubble),CRASH,CRASH,
1444,,FortifiedTower (Rubble),CRASH,CRASH,
1445,,Wonder (Rubble),CRASH,CRASH,
1446,,Feitoria (Rubble),CRASH,CRASH,
1447,,Yurt A (Rubble),CRASH,CRASH,
1448,,Yurt B (Rubble),CRASH,CRASH,
1449,,Yurt C (Rubble),CRASH,CRASH,
1450,,Yurt D (Rubble),CRASH,CRASH,
1451,,Yurt E (Rubble),CRASH,CRASH,
1452,,Yurt F (Rubble),CRASH,CRASH,
1453,,Yurt G (Rubble),CRASH,CRASH,
1454,,Yurt H (Rubble),CRASH,CRASH,
1455,,Hut A (Rubble),CRASH,CRASH,
1456,,Hut B (Rubble),CRASH,CRASH,
1457,,Hut C (Rubble),CRASH,CRASH,
1458,,Hut D (Rubble),CRASH,CRASH,
1459,,Hut E (Rubble),CRASH,CRASH,
1460,,Hut F (Rubble),CRASH,CRASH,
1461,,Hut G (Rubble),CRASH,CRASH,
1462,,Tent A (Rubble),CRASH,CRASH,
1463,,Tent B (Rubble),CRASH,CRASH,
1464,,Tent C (Rubble),CRASH,CRASH,
1465,,Tent D (Rubble),CRASH,CRASH,
1466,,Tent E (Rubble),CRASH,CRASH,
1467,,ArmyTent A (Rubble),CRASH,CRASH,
1468,,ArmyTent B (Rubble),CRASH,CRASH,
1469,,ArmyTent C (Rubble),CRASH,CRASH,
1470,,ArmyTent D (Rubble),CRASH,CRASH,
1471,,ArmyTent E (Rubble),CRASH,CRASH,
1472,,Barricade A (Rubble),CRASH,CRASH,
1473,,Barricade B (Rubble),CRASH,CRASH,
1474,,Barricade C (Rubble),CRASH,CRASH,
1475,,Barricade D (Rubble),CRASH,CRASH,
1476,,Pavilion A (Rubble),CRASH,CRASH,
1477,,Pavilion B (Rubble),CRASH,CRASH,
1478,,Pavilion C (Rubble),CRASH,CRASH,
1479,,Krepost (Rubble),CRASH,CRASH,
1480,,Cathedral (Rubble),CRASH,CRASH,
1481,,Temple of Heaven (Rubble),CRASH,CRASH,
1482,,DomeOfRock (Rubble),CRASH,CRASH,
1483,,Shrine (Rubble),CRASH,CRASH,
1484,,Storage (Rubble),CRASH,CRASH,
1485,,ArchOfConstantine (Rubble),CRASH,CRASH,
1486,,Fortress (Rubble),CRASH,CRASH,
1487,,GolGumbaz (Rubble),CRASH,CRASH,
1488,,PoenariCastle (Rubble),CRASH,CRASH,
1489,,QuimperCathedral (Rubble),CRASH,CRASH,
1490,,SanchiStupa (Rubble),CRASH,CRASH,
1491,,SankoreMadrasah (Rubble),CRASH,CRASH,
1492,,TowerOfLondon (Rubble),CRASH,CRASH,
1493,,DormitionCathedral (Rubble),CRASH,CRASH,
1494,,TheAccursedTower (Rubble),CRASH,CRASH,
1495,,TheTowerOfFlies (Rubble),CRASH,CRASH,
1496,,Mosque (Rubble),CRASH,CRASH,
1497,,Rubble 4 x 4,CRASH,CRASH,
1498,,Rubble 8 x 8,CRASH,CRASH,
1499,,Granary (Rubble),CRASH,CRASH,
1500,,StoneGate NE (Rubble),CRASH,CRASH,
1501,,StoneGate SE (Rubble),CRASH,CRASH,
1502,,StoneGate E (Rubble),CRASH,CRASH,
1503,,StoneGate N (Rubble),CRASH,CRASH,
1504,,FortifiedGate NE (Rubble),CRASH,CRASH,
1505,,FortifiedGate SE (Rubble),CRASH,CRASH,
1506,,FortifiedGate E (Rubble),CRASH,CRASH,
1507,,FortifiedGate N (Rubble),CRASH,CRASH,
1508,,StoneWall (Rubble),CRASH,CRASH,
1509,,FortifiedWall (Rubble),CRASH,CRASH,
1510,,CityGate NE (Rubble),CRASH,CRASH,
1511,,CityGate SE (Rubble),CRASH,CRASH,
1512,,CityGate E (Rubble),CRASH,CRASH,
1513,,CityGate N (Rubble),CRASH,CRASH,
1514,,Amphitheatre (Rubble),CRASH,CRASH,
1515,,Pyramid (Rubble),CRASH,CRASH,
1516,,GreatPyramid (Rubble),CRASH,CRASH,
1517,,AachenCathedral (Rubble),CRASH,CRASH,
1518,,StoneGate Corner (Rubble),CRASH,CRASH,
1519,,FortifiedGate Corner (Rubble),CRASH,CRASH,
1520,,Colosseum (Rubble),CRASH,CRASH,
1521,,PalisadeGate Corner (Rubble),CRASH,CRASH,
1522,,Aqueduct (Rubble),CRASH,CRASH,
1523,,CityGate Corner (Rubble),CRASH,CRASH,
1524,,Donjon Age2 (Rubble),CRASH,CRASH,
1525,,Folwark Age2 (Rubble),CRASH,CRASH,
1526,,PaganShrine (Rubble),CRASH,CRASH,
1527,,Folwark Age3 (Rubble),CRASH,CRASH,
1528,,Folwark Age1 (Rubble),CRASH,CRASH,
1529,,Caravanserai (Rubble),CRASH,CRASH,
1530,,MinaretOfJam(Rubble),CRASH,CRASH,
1531,,FortifiedChurch Age3 (Rubble),CRASH,CRASH,
1532,,Yurt I (Rubble),CRASH,CRASH,
1533,,Yurt J (Rubble),CRASH,CRASH,
1534,,Yurt K (Rubble),CRASH,CRASH,
1535,,Yurt L (Rubble),CRASH,CRASH,
1536,BAMBOO_STUMP,Bamboo Stump,CRASH,CRASH,permanent
1537,BAOBAB_STUMP,Baobab Stump,CRASH,CRASH,permanent
1538,LUSH_BAMBOO_STUMP,Lush Bamboo Stump,CRASH,CRASH,permanent
1539,FELLED_TREE,Felled Tree,CRASH,CRASH,permanent
1540,FELLED_TREE_BAMBOO,Felled Tree (Bamboo),CRASH,CRASH,
1541,FELLED_TREE_BAOBAB,Felled Tree (Baobab),CRASH,CRASH,
1542,FELLED_TREE_LUSH_BAMBOO,Felled Tree (Lush Bamboo),CRASH,CRASH,
1543,,PLACEHOLDER,CRASH,CRASH,on grid; No terrain restrictions
1544,,PLACEHOLDER (LAND),CRASH,CRASH,on grid; Restricted to land
1545,,PLACEHOLDER (AMPHIBIOUS),CRASH,CRASH,"on grid; Restricted to land, beaches and shallows"
1546,,PLACEHOLDER (NAVAL),CRASH,CRASH,"on grid; Restricted to beaches, shallows and water"
1547,,PLACEHOLDER (WATER),CRASH,CRASH,on grid; Restricted to water
1548,,Projectile CHURCH,CRASH,CRASH,
1549,,Forage Bush,CRASH,CRASH,for the Gurjara bonus
1550,,Bridge E--Top,CRASH,CRASH,
1551,,Bridge E--Middle,CRASH,CRASH,
1552,,Bridge E--Bottom,CRASH,CRASH,
1553,,Bridge F--Top,CRASH,CRASH,
1554,,Bridge F--Middle,CRASH,CRASH,
1555,,Bridge F--Bottom,CRASH,CRASH,
1556,,Bridge E--Cracked,CRASH,CRASH,
1557,,Bridge E--Broken Top,CRASH,CRASH,
1558,,Bridge E--Broken Bottom,CRASH,CRASH,
1559,,Bridge F--Cracked,CRASH,CRASH,
1560,,Bridge F--Broken Top,CRASH,CRASH,
1561,,Bridge F--Broken Bottom,CRASH,CRASH,
1562,,Paifang Gate,CRASH,CRASH,
1563,,Nubian Pyramid,CRASH,CRASH,
1564,,Target A,CRASH,CRASH,
1565,,Target B,CRASH,CRASH,
1566,,Temple Ruin,CRASH,CRASH,
1567,,Well,CRASH,CRASH,
1568,,Mounted Samurai,CRASH,CRASH,
1569,,Mounted Samurai (Dead),CRASH,CRASH,
1570,,Xolotl Warrior,CRASH,CRASH,Mesoamerican cavalry unit
1571,,XolotlWarrior (Dead),CRASH,CRASH,
1572,,Merchant,CRASH,CRASH,looks like King?
1573,,Merchant (Dead),CRASH,CRASH,
1574,,Sosso Guard,CRASH,CRASH,Hero unit (unique graphic)
1575,,Sosso Gaurd (Dead),CRASH,CRASH,
1576,,Royal Janissary (Dead),CRASH,CRASH,
1577,,Photonman,CRASH,CRASH,cheat unit unit with explosive rifle; 30 attack
1578,,Photonman (Dead),CRASH,CRASH,
1579,,City Gate,CRASH,CRASH,
1580,,City Gate,CRASH,CRASH,
1581,,City Gate,CRASH,CRASH,
1582,,City Gate,CRASH,CRASH,
1583,,City Gate,CRASH,CRASH,
1584,,City Gate,CRASH,CRASH,
1585,,City Gate,CRASH,CRASH,
1586,,City Gate,CRASH,CRASH,
1587,,City Gate,CRASH,CRASH,
1588,,City Gate,CRASH,CRASH,
1589,,City Gate,CRASH,CRASH,
1590,,City Gate,CRASH,CRASH,
1591,,City Gate,CRASH,CRASH,
1592,,City Gate,CRASH,CRASH,
1593,,City Gate,CRASH,CRASH,
1594,,City Gate,CRASH,CRASH,
1595,,Projectile Laser,CRASH,CRASH,fired by Photonman unit
1596,DLC_COW_B,Cow B,CRASH,CRASH,Cow Black
1597,,Cow B (Dead),CRASH,CRASH,
1598,DLC_COW_C,Cow C,CRASH,CRASH,Cow Brown and White
1599,,Cow C (Dead),CRASH,CRASH,
1600,DLC_COW_D,Cow D,CRASH,CRASH,Cow Brown
1601,,Cow D (Dead),CRASH,CRASH,
1602,HORSE_C,Horse C,CRASH,CRASH,Horse Grey Black
1603,,Horse C (Dead),CRASH,CRASH,
1604,HORSE_D,Horse D,CRASH,CRASH,Horse Grey Brown
1605,,Horse D (Dead),CRASH,CRASH,
1606,HORSE_E,Horse E,CRASH,CRASH,Horse White Brown
1607,,Horse E (Dead),CRASH,CRASH,
1608,,Butterflies1,CRASH,CRASH,large numbers of butterflies may cause crashes
1609,,Butterflies2,CRASH,CRASH,large numbers of butterflies may cause crashes
1610,,Butterflies3,CRASH,CRASH,large numbers of butterflies may cause crashes
1611,,Animal Blood Small,CRASH,CRASH,
1612,,Animal Blood Large,CRASH,CRASH,
1613,,Terrain blocker,CRASH,CRASH,invisible; blocks terrains from spawning decorative plants; can be used as an on-grid placeholder
1614,,Bolt explosion,CRASH,CRASH,
1615,,Sforza (Dead),CRASH,CRASH,
1616,,Tariq Ibn Ziyad (Dead),CRASH,CRASH,
1617,,Vlad Dracula (Dead),CRASH,CRASH,
1618,,Subotai (Dead),CRASH,CRASH,
1619,,Attila (Dead),CRASH,CRASH,
1620,,Alaric (Dead),CRASH,CRASH,
1621,,Sumanguru (Dead),CRASH,CRASH,
1622,,Aachen Cathedral,CRASH,CRASH,
1623,,Le Loi (Dead),CRASH,CRASH,
1624,,Ataulf (Dead),CRASH,CRASH,
1625,,Yodit (Dead),CRASH,CRASH,
1626,,Cusi Yupanqui (Dead),CRASH,CRASH,
1627,,Prithviraj (Dead),CRASH,CRASH,
1628,,Jarl (Dead),CRASH,CRASH,
1629,,Ivaylo (Dead),CRASH,CRASH,
1630,,Ivaylo Infantry (Dead),CRASH,CRASH,
1631,,The Middlebrook,CRASH,CRASH,Hero Longboat
1632,,Osman (Dead),CRASH,CRASH,
1633,,Pachacuti (Dead),CRASH,CRASH,
1634,,Baobab Stump,CRASH,CRASH,
1635,,Waterfall (Background),CRASH,CRASH,
1636,,Envoy (Dead),CRASH,CRASH,
1637,,Bayinnaung (Dead),CRASH,CRASH,
1638,,Kushluk (Dead),CRASH,CRASH,
1639,,Monument resources enabler,CRASH,CRASH,"Place this as an object for each player, to allow monuments to generate resources for player controlling the monument"
1640,,Villager building (Male),CRASH,CRASH,
1641,,Villager building (Female),CRASH,CRASH,
1642,,Villager annex (Chinese),CRASH,CRASH,used to produce extra Chinese villagers
1643,,Villager building2 (Male),CRASH,CRASH,
1644,,Villager annex (Mayan),CRASH,CRASH,used to produce extra Mayan villagers
1645,,Villager building2 (Female),CRASH,CRASH,
1646,,Market,CRASH,CRASH,indestructibe market to give gaia for trade
1647,,Trade Workshop,CRASH,CRASH,"Used in Battle Royale; Generates wood, food, gold.  Allows trade like market.  Very high HP."
1648,,Trail Smoke (Gunpowder),CRASH,CRASH,
1649,,Trophy None,CRASH,CRASH,
1650,,Trophy Bronze,CRASH,CRASH,
1651,,Trophy Silver,CRASH,CRASH,
1652,,Trophy Gold,CRASH,CRASH,
1653,,Trophy Platinum,CRASH,CRASH,
1654,,resources,CRASH,CRASH,Used in battle royale. Grants players and trickle of food+wood+gold
1655,,Coustillier,CRASH,CRASH,
1656,,Coustillier (Dead),CRASH,CRASH,
1657,,Elite Coustillier,CRASH,CRASH,
1658,,Serjeant,CRASH,CRASH,trainable from castle
1659,,Elite Serjeant,CRASH,CRASH,trainable from castle
1660,,Serjeant,CRASH,CRASH,trainable from donjon
1661,,Elite Serjeant,CRASH,CRASH,trainable from donjon
1662,,Serjeant (Dead),CRASH,CRASH,
1663,,Flemish Militia Male ,CRASH,CRASH,
1664,,Flemish Militia Male (Dead),CRASH,CRASH,
1665,,Donjon,CRASH,CRASH,
1666,,HPIKL_D,CRASH,CRASH,uses dead trade cart graphics
1667,,Elite Elephant Archer (Dead),CRASH,CRASH,
1668,,Camel Scout (Dead),CRASH,CRASH,
1669,,Edward Longshanks,CRASH,CRASH,
1670,,Edward Longshanks (Dead),CRASH,CRASH,
1671,,Gilbert de Clare,CRASH,CRASH,
1672,,Gilbert de Clare (Dead),CRASH,CRASH,
1673,,John the Fearless,CRASH,CRASH,
1674,,John the Fearless (Dead),CRASH,CRASH,
1675,,Philip the Good,CRASH,CRASH,
1676,,Philip the Good (Dead),CRASH,CRASH,
1677,,Robert Guiscard,CRASH,CRASH,
1678,,Robert Guiscard (Dead),CRASH,CRASH,
1679,,Roger Bosso,CRASH,CRASH,
1680,,Roger Bosso (Dead),CRASH,CRASH,
1681,,Bohemond,CRASH,CRASH,
1682,,Bohemond (Dead),CRASH,CRASH,
1683,,Llywelyn ap Gruffydd,CRASH,CRASH,
1684,,Llywelyn ap Gruffydd (Dead),CRASH,CRASH,
1685,,Dafydd ap Gruffydd,CRASH,CRASH,
1686,,Dafydd ap Gruffydd (Dead),CRASH,CRASH,
1687,,Bernard d'Armagnac,CRASH,CRASH,
1688,,Bernard d'Armagnac (Dead),CRASH,CRASH,
1689,,Flare (Permanent),CRASH,CRASH,
1690,,Warwolf Trebuchet,CRASH,CRASH,hero trebuchet
1691,,Warwolf Trebuchet (Packed),CRASH,CRASH,hero trebuchet
1692,,Jacqueline of Hainaut,CRASH,CRASH,hero queen western
1693,,Sheep building1,CRASH,CRASH,for the Tatar sheep bonus
1694,,Sheep annex1,CRASH,CRASH,for the Tatar sheep bonus
1695,,Sheep building2,CRASH,CRASH,for the Tatar sheep bonus
1696,,Sheep annex2,CRASH,CRASH,for the Tatar sheep bonus
1697,,Flemish Militia Female,CRASH,CRASH,
1698,,Flemish Militia Female (Dead),CRASH,CRASH,
1699,,Flemish Militia,CRASH,CRASH,from the barracks
1700,,Sheep building3,CRASH,CRASH,for the Tatar sheep bonus
1701,,Obuch,CRASH,CRASH,
1702,,Obuch (Dead),CRASH,CRASH,
1703,,Elite Obuch,CRASH,CRASH,
1704,,Hussite Wagon,CRASH,CRASH,
1705,,Hussite Wagon (Dead),CRASH,CRASH,
1706,,Elite Hussite Wagon,CRASH,CRASH,
1707,,Winged Hussar,CRASH,CRASH,
1708,,Winged Hussar (Dead),CRASH,CRASH,
1709,,Houfnice,CRASH,CRASH,
1710,,Houfnice (Dead),CRASH,CRASH,
1711,,Folwark,CRASH,CRASH,feudal age
1712,,Pagan Shrine,CRASH,CRASH,
1713,,Jan Zizka,CRASH,CRASH,
1714,,Jan Zizka (Dead),CRASH,CRASH,
1715,,Jadwiga,CRASH,CRASH,
1716,,Jadwiga (Dead),CRASH,CRASH,
1717,BIRCH_TREE,Tree (Birch),CRASH,CRASH,
1718,,Jogaila,CRASH,CRASH,
1719,,Jogaila (Dead),CRASH,CRASH,
1720,,Folwark,CRASH,CRASH,castle age
1721,,Kestutis,CRASH,CRASH,
1722,,Kestutis (Dead),CRASH,CRASH,
1723,CRUSADER_KNIGHT,Crusader Knight,CRASH,CRASH,
1724,,Crusader Knight (Dead),CRASH,CRASH,
1725,,Algirdas,CRASH,CRASH,
1726,,Algirdas (Dead),CRASH,CRASH,
1727,,Ulrich von Jungingen,CRASH,CRASH,
1728,,Ulrich von Jungingen (Dead),CRASH,CRASH,
1729,,Emperor Sigismund,CRASH,CRASH,Frankish Paladin
